None,content_type,title,director,cast,country,date_added,release_year,rating,duration,genres,description,date_added_formatted
s78,Movie,little singham - black shadow,prakash satam,"sumriddhi shukla, jigna bharadwaj, sonal kaushal, neshma chemburkar, ganesh divekar, annamaya verma, anamay verma, manoj pandey",none,2021-09-11,2021,tv-y7,48m,"children & family movies, comedies",Kid cop Little Singham loses all his superpowers while trying to stop the demon Kaal’s new evil plans! Can his inner strength help him defeat the enemy?,11-09-2021
s79,Movie,tughlaq durbar,delhiprasad deenadayalan,"vijay sethupathi, parthiban, raashi khanna",none,2021-09-11,2020,tv-14,2h 25m,"comedies, dramas, international movies",A budding politician has devious plans to rise in the ranks — until an unexpected new presence begins to interfere with his every crooked move.,11-09-2021
s80,Movie,tughlaq durbar (telugu),delhiprasad deenadayalan,"vijay sethupathi, parthiban, raashi khanna",none,2021-09-11,2021,tv-14,2h 25m,"comedies, dramas, international movies",A budding politician has devious plans to rise in the ranks — until an unexpected new presence begins to interfere with his every crooked move.,11-09-2021
s81,Movie,firedrake the silver dragon,tomer eshed,"thomas brodie-sangster, felicity jones, freddie highmore, patrick stewart, meera syal, sanjeev bhaskar, nonso anozie",none,2021-09-10,2021,tv-y7,1h 33m,children & family movies,"When his home is threatened by humans, a young dragon summons the courage to seek a mythical paradise where dragons can live in peace and fly free.",10-09-2021
s82,Movie,kate,cedric nicolas-troyan,"mary elizabeth winstead, jun kunimura, woody harrelson, tadanobu asano, miyavi, michiel huisman, miku martineau",usa,2021-09-10,2021,r,1h 46m,action & adventure,"Slipped a fatal poison on her final job, a ruthless assassin working in Tokyo has less than 24 hours to find out who ordered the hit and exact revenge.",10-09-2021
s83,TV Show,lucifer,none,"tom ellis, lauren german, kevin alejandro, d.b. woodside, lesley-ann brandt, scarlett estevez, rachael harris, aimee garcia, tricia helfer, tom welling, jeremiah w. birkett, pej vahdat, michael gladis",usa,2021-09-10,2021,tv-14,6 Seasons,"crime tv shows, tv comedies, tv dramas","Bored with being the Lord of Hell, the devil relocates to Los Angeles, where he opens a nightclub and forms a connection with a homicide detective.",10-09-2021
s84,TV Show,metal shop masters,none,jo koy,none,2021-09-10,2021,tv-ma,1 Season,reality tv,"On this competition show, a group of metal artists torch, cut and weld epic, badass creations from hardened steel. Only one will win a $50,000 prize.",10-09-2021
s85,Movie,omo ghetto: the saga,"jjc skillz, funke akindele","funke akindele, ayo makun, chioma chukwuka akpotha, yemi eberechi alade, blossom chukwujekwu, deyemi okanlawon, alexx ekubo, zubby michael, tina mba, femi jacobs",nigeria,2021-09-10,2020,tv-ma,2h 27m,"action & adventure, comedies, dramas","Twins are reunited as a good-hearted female gangster and her uptight rich sister take on family, crime, cops and all of the trouble that follows them.",10-09-2021
s86,TV Show,pokémon master journeys: the series,none,"ikue otani, sarah natochenny, zeno robinson, cherami leigh, james carter cathcart, michele knotz, rodger parsons, ray chase, casey mongillo, tara sands",none,2021-09-10,2021,tv-y7,1 Season,"anime series, kids' tv","As Ash battles his way through the World Coronation Series, Goh continues his quest to catch every Pokémon. Together, they're on a journey to adventure!",10-09-2021
s87,Movie,prey,thomas sieben,"david kross, hanno koffler, maria ehrich, robert finster, yung ngo, klaus steinbacher, livia matthes, nellie thalbach",none,2021-09-10,2021,tv-ma,1h 27m,"international movies, thrillers",A hiking trip into the wild turns into a desperate bid for survival for five friends on the run from a mysterious shooter.,10-09-2021
s88,TV Show,titipo titipo,none,"jeon hae-ri, kim eun-ah, hong bum-ki, nam do-hyeong, um sang-hyun",none,2021-09-10,2019,tv-y,2 Seasons,"kids' tv, korean tv shows",Titipo the train is out to prove that he's got what it takes to help the folks of Train Village ride the rails safely and reliably.,10-09-2021
s89,Movie,blood brothers: malcolm x & muhammad ali,marcus clarke,"malcolm x, muhammad ali",none,2021-09-09,2021,pg-13,1h 36m,"documentaries, sports movies","From a chance meeting to a tragic fallout, Malcolm X and Muhammad Ali's extraordinary bond cracks under the weight of distrust and shifting ideals.",09-09-2021
s90,TV Show,mighty raju,none,"julie tejwani, sabina malik, jigna bhardwaj, rupa bhimani, lalit agarwal, rajesh shukla, rajesh kava",none,2021-09-09,2017,tv-y7,4 Seasons,kids' tv,"Born with superhuman abilities, young Raju wants to use his powers to make the world a better place — but that will mean facing plenty of challenges!",09-09-2021
s91,Movie,paradise hills,alice waddington,"emma roberts, danielle macdonald, awkwafina, eiza gonzález, milla jovovich, jeremy irvine, arnaud valois, daniel horvath","spain, usa",2021-09-09,2019,tv-ma,1h 35m,"sci-fi & fantasy, thrillers","Uma wakes up in a lush tropical facility designed to turn willful girls into perfect ladies. That’s bad enough, but its real purpose is even worse.",09-09-2021
s92,Movie,the women and the murderer,"mona achache, patricia tourancheau",none,france,2021-09-09,2021,tv-14,1h 32m,"documentaries, international movies",This documentary traces the capture of serial killer Guy Georges through the tireless work of two women: a police chief and a victim's mother.,09-09-2021
s93,TV Show,into the night,none,"pauline etienne, laurent capelluto, stefano cassetti, mehmet kurtuluş, babetida sadjo, jan bijvoet, ksawery szlenkier, vincent londez, regina bikkinina, alba gaïa kraghede bellugi, nabil mallat",belgium,2021-09-08,2021,tv-ma,2 Seasons,"international tv shows, tv dramas, tv mysteries",Passengers and crew aboard a hijacked overnight flight scramble to outrace the sun as a mysterious cosmic event wreaks havoc on the world below.,08-09-2021
s94,Movie,jj+e,alexis almström,"elsa öhrn, mustapha aarab, jonay pineda skallak, magnus krepper, loreen, albin grenholm, simon mezher, elsa bergström terent, josef kadim, yohannes frezgi",none,2021-09-08,2021,tv-ma,1h 31m,"dramas, international movies, romantic movies","Elisabeth and John-John live in the same city, but they inhabit different worlds. Can a passionate first love break through class and cultural barriers?",08-09-2021
s95,Movie,show dogs,raja gosnell,"will arnett, ludacris, natasha lyonne, stanley tucci, jordin sparks, gabriel iglesias, shaquille o'neal, omar chaparro, alan cumming, andy beckwith, delia sheppard, kerry shale","uk, usa",2021-09-08,2018,pg,1h 30m,"children & family movies, comedies",A rough and tough police dog must go undercover with an FBI agent as a prim and proper pet at a dog show to save a baby panda from an illegal sale.,08-09-2021
s96,TV Show,the circle,none,michelle buteau,"usa, uk",2021-09-08,2021,tv-ma,3 Seasons,reality tv,"Status and strategy collide in this social experiment and competition show where online players flirt, befriend and catfish their way toward $100,000.",08-09-2021
s97,Movie,if i leave here tomorrow: a film about lynyrd skynyrd,stephen kijak,"ronnie van zandt, gary rossington, allen collins, leon wilkeson, bob burns, billy powell, ed king, artimus pyle, steve gaines, johnny van zant",usa,2021-09-07,2018,tv-ma,1h 37m,"documentaries, music & musicals","Using interviews and archival footage, this documentary charts the story of the legendary Southern rockers with a focus on front man Ronnie Van Zant.",07-09-2021
s98,TV Show,kid cosmic,none,"jack fisher, tom kenny, amanda c. miller, kim yarbrough, keith ferguson, grey griffin, lily rose silver",usa,2021-09-07,2021,tv-y7,2 Seasons,"kids' tv, tv comedies, tv sci-fi & fantasy",A boy's superhero dreams come true when he finds five powerful cosmic stones. But saving the day is harder than he imagined — and he can't do it alone.,07-09-2021
s99,TV Show,octonauts: above & beyond,none,"antonio aakeel, chipo chung, simon foster, teresa gallagher, simon greenall, kate harbour, paul panting, rob rackstraw, william vanderpuye, helen walsh, keith wickham, andres williams, jo wyatt",uk,2021-09-07,2021,tv-y,1 Season,"british tv shows, kids' tv","The Octonauts expand their exploration beyond the sea — and onto land! With new rides and new friends, they'll protect any habitats and animals at risk.",07-09-2021
s100,TV Show,on the verge,none,"julie delpy, elisabeth shue, sarah jones, alexia landeau, mathieu demy, troy garity, timm sharp, giovanni ribisi","france, usa",2021-09-07,2021,tv-ma,1 Season,"tv comedies, tv dramas","Four women — a chef, a single mom, an heiress and a job seeker — dig into love and work, with a generous side of midlife crises, in pre-pandemic LA.",07-09-2021
s101,TV Show,tobot galaxy detectives,none,"austin abell, travis turner, cole howard, anna cummer, jesse inocalla, brian dobson, michael adamthwaite, joseph girgis, caitlyn bairstow",none,2021-09-07,2019,tv-y7,2 Seasons,kids' tv,"An intergalactic device transforms toy cars into robots: the Tobots! Working with friends to solve mysteries, they protect the world from evil.",07-09-2021
s102,Movie,untold: breaking point,"chapman way, maclain way",none,usa,2021-09-07,2021,tv-ma,1h 20m,"documentaries, sports movies","Under pressure to continue a winning tradition in American tennis, Mardy Fish faced mental health challenges that changed his life on and off the court.",07-09-2021
s103,TV Show,countdown: inspiration4 mission to space,jason hehir,none,none,2021-09-06,2021,tv-14,1 Season,"docuseries, science & nature tv","From training to launch to landing, this all-access docuseries rides along with the Inspiration4 crew on the first all-civilian orbital space mission.",06-09-2021
s104,Movie,shadow parties,yemi amodu,"jide kosoko, omotola jalade-ekeinde, yemi blaq, sola sobowale, ken erics, toyin aimakhu, segun arinze, jibola dabo, rotimi salami, pa jimi solanke, rachael okonkwo, bassey okon, lucien morgan, magdalena korpas",none,2021-09-06,2020,tv-ma,1h 57m,"dramas, international movies, thrillers",A family faces destruction in a long-running conflict between communities that pits relatives against each other amid attacks and reprisals.,06-09-2021
s105,TV Show,tayo the little bus,none,"robyn slade, kami desilets",south korea,2021-09-06,2016,tv-y,2 Seasons,"kids' tv, korean tv shows","As they learn their routes around the busy city, Tayo and his little bus friends discover new sights and go on exciting adventures every day.",06-09-2021
s106,Movie,angamaly diaries,lijo jose pellissery,"antony varghese, reshma rajan, binny rinky benjamin, vineeth vishwam, kichu tellus, sreekanth dasan, sarath kumar, tito wilson, anandhu, bitto davis, sinoj varghese",india,2021-09-05,2017,tv-14,2h 8m,"action & adventure, comedies, dramas","After growing up amidst the gang wars of his hometown, Vincent forms an entrepreneurial squad of his own and ends up on the wrong side of the law.",05-09-2021
s107,TV Show,bunk'd,none,"peyton list, karan brar, skai jackson, miranda may, kevin g. quinn, nathan arenas, nina lu",usa,2021-09-05,2021,tv-g,5 Seasons,"kids' tv, tv comedies","The Ross siblings of Disney's hit series ""Jessie"" spend a summer full of fun and adventure at Maine's Camp Kikiwaka, where their parents first met.",05-09-2021
s108,Movie,a champion heart,david de vos,"mandy grace, david de vos, donna rusch, devan key, isabella mancuso, ariana guido",usa,2021-09-04,2018,g,1h 30m,"children & family movies, dramas","When a grieving teen must work off her debt to a ranch, she cares for a wounded horse that teaches her more about healing than she expected.",04-09-2021
s109,TV Show,dive club,none,"aubri ibrag, sana'a shaik, miah madden, mercy cornwall, georgia-may davis, ryan harrison, josh heuston, alexander grant",australia,2021-09-03,2021,tv-g,1 Season,"kids' tv, tv dramas, teen tv shows","On the shores of Cape Mercy, a skillful group of teen divers investigate a series of secrets and signs after one of their own mysteriously goes missing.",03-09-2021
s110,TV Show,la casa de papel,none,"úrsula corberó, itziar ituño, álvaro morte, paco tous, enrique arce, pedro alonso, maría pedraza, alba flores, miguel herrán, jaime lorente, esther acebo, darko peric, kiti mánver",spain,2021-09-03,2021,tv-ma,5 Seasons,"crime tv shows, international tv shows, spanish-language tv shows",Eight thieves take hostages and lock themselves in the Royal Mint of Spain as a criminal mastermind manipulates the police to carry out his plan.,03-09-2021
s111,TV Show,money heist: from tokyo to berlin,"luis alfaro, javier gómez santander",none,none,2021-09-03,2021,tv-ma,1 Season,"docuseries, international tv shows, spanish-language tv shows","The filmmakers and actors behind ""Money Heist"" characters like Tokyo and the Professor talk about the emotional artistic process of filming the series.",03-09-2021
s112,TV Show,sharkdog,none,"liam mitchell, dee bradley baker, grey griffin, josh mcdermitt, kari wahlgren, judy alice lee, ali mawji","usa, singapore",2021-09-03,2021,tv-y,1 Season,kids' tv,"Half shark, half dog with a big heart and a belly full of fish sticks! Together, Sharkdog and his human pal Max can take on any silly or messy adventure.",03-09-2021
s113,Movie,worth,sara colangelo,"michael keaton, stanley tucci, amy ryan, shunori ramanathan, ato blankson-wood, tate donovan, laura benanti, chris tardio",none,2021-09-03,2021,pg-13,1h 59m,dramas,"In the wake of the Sept. 11 attacks, a lawyer faces an emotional reckoning as he attempts to put a dollar value on the lives lost. Based on real events.",03-09-2021
